Expression,URL,ExampleURL,ExampleIn,ExampleOut,InNum,DataTypes,OutType,OutputNote
type(°°°),https://docs.python.org/3/library/functions.html#type,,type(5),<class 'int'>,1,,"Python ""type""","A note telling you the ""data type"" of the expression within its parentheses"
len(°°°),https://docs.python.org/3/library/functions.html#len,,len('Hiya'),4,1,"plaintext, list, Pandas ""DataFrame"", Pandas ""Series"", etc.  (But not numbers, etc.)",integer,"The ""length"" of whatever is in the expression within its parentheses, in a way appropriate to the ""data type"" of that expression"
str(°°°),https://docs.python.org/3/library/stdtypes.html#str,,,,1,"number, etc.",plaintext,A plain-text representation of the expression within its parentheses.  Useful when you want to concatenate plaintext to a number.
str(°°°1°°°).zfill(°°°2°°°),https://docs.python.org/3/library/stdtypes.html#str.zfill,,str(234).zfill(5),00234,2,"#1:  number.  #2:  number (specifically, integer).",plaintext,"A plain-text representation of expression #1, only zero-padded to the left to the specified minimum number of digits specified in expression #2 (great for re-zeroing zip codes by setting expression #2 to 5)"
°°°.abs(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.abs.html,,,,1,"Pandas ""Series""","Pandas ""Series""","The same Pandas ""Series,"" only with negative numbers in the ""Series"" turned into positive ones.  Will abort your program with an error if values in your Pandas ""Series"" are, say, text, instead of numbers."
°°°1°°° + °°°2°°°,https://docs.python.org/3/library/operator.html#mapping-operators-to-functions,,3+4,7,2,#1:  number.  #2:  number.,number,The value of expression #2 added to the value of expression #1.  (Normal math!)
°°°1°°° + °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  number.  (Or the reverse.)","Pandas ""Series""","The same Pandas ""Series"" as in expression #1, only with the value of expression #2 added to every number in the ""Series.""  Will abort your program with an error if values in your Pandas ""Series"" are, say, text, instead of numbers."
°°°1°°° + °°°2°°°,,,,,2,"#1:  Pandas ""Series.""  #2:  Pandas ""Series"" of the SAME LENGTH as expression #1.","Pandas ""Series""","The same Pandas ""Series"" as in expression #1, only with the ""corresponding value"" from the appropriate equivalent position within expression #2 added to every number in the first ""Series.""  Will abort your program with an error if values in either Pandas ""Series"" are, say, text, instead of numbers."
°°°1°°°.add(°°°2°°°),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.add.html,,,,2,"#1:  Pandas ""Series.""  #2:  number.","Pandas ""Series""","The same Pandas ""Series"" as in expression #1, only with the value of expression #2 added to every number in the ""Series.""  Will abort your program with an error if values in your Pandas ""Series"" are, say, text, instead of numbers."
°°°1°°° + °°°2°°°,,,,,2,"#1:  Pandas ""Series"" full of numbers.  #2:  Pandas ""Series"" full of numbers; SAME LENGTH as the Series in expression #1.","Pandas ""Series""","The same Pandas ""Series"" as in expression #1, only with the ""corresponding value"" from the appropriate equivalent position within expression #2 added to every number in the first ""Series.""  Will abort your program with an error if values in either Pandas ""Series"" are, say, text, instead of numbers."
°°°1°°°.add(°°°2°°°),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.add.html,,,,2,"#1:  Pandas ""Series"" full of numbers.  #2:  Pandas ""Series"" full of numbers; SAME LENGTH as the Series in expression #1.","Pandas ""Series""","The same Pandas ""Series"" as in expression #1, only with the ""corresponding value"" from the appropriate equivalent position within expression #2 added to every number in the first ""Series.""  Will abort your program with an error if values in either Pandas ""Series"" are, say, text, instead of numbers."
°°°1°°° - °°°2°°°,https://docs.python.org/3/library/operator.html#mapping-operators-to-functions,,,,2,"(see above in various ""+"" operations -- same idea)","(see above for various ""+"" operations)","(Same idea as for ""+"" involving numbers, only subtraction.)"
°°°1°°°.subtract(°°°2°°°),,,,,2,"(see above in various "".add()"" operations -- same idea)","(see above for various "".add()"" operations)","(Same idea as for "".add()"" involving numbers, only subtraction.)"
°°°1°°° * °°°2°°°,https://docs.python.org/3/library/operator.html#mapping-operators-to-functions,,,,2,"(see above in various ""+"" operations -- same idea)","(see above for various ""+"" operations)","(Same idea as for ""+"" involving numbers, only multiplication.)"
°°°1°°°.multiply(°°°2°°°),,,,,2,"(see above in various "".add()"" operations -- same idea)","(see above for various "".add()"" operations)","(Same idea as for "".add()"" involving numbers, only multiplication.)"
°°°1°°° / °°°2°°°,https://docs.python.org/3/library/operator.html#mapping-operators-to-functions,,,,2,"(see above in various ""+"" operations -- same idea)","(see above for various ""+"" operations)","(Same idea as for ""+"" involving numbers, only division.)"
°°°1°°°.divide(°°°2°°°),,,,,2,"(see above in various "".add()"" operations -- same idea)","(see above for various "".add()"" operations)","(Same idea as for "".add()"" involving numbers, only division.)"
°°°1°°° % °°°2°°°,https://docs.python.org/3/library/operator.html#mapping-operators-to-functions,,,,2,"(see above in various ""+"" operations -- same idea)","(see above for various ""+"" operations)","(Same idea as for ""+"" involving numbers, only modulo division.)"
°°°1°°°.mod(°°°2°°°),,,,,2,"(see above in various "".add()"" operations -- same idea)","(see above for various "".add()"" operations)","(Same idea as for "".add()"" involving numbers, only modulo division.)"
°°°1°°° + °°°2°°°,https://docs.python.org/3/library/operator.html#mapping-operators-to-functions,,'a'+str(4),a4,2,#1:  plaintext or number.  #2:  plaintext.  (Or the reverse.),plaintext,The value of expression #2 concatenated to the end of the value of expression #1.  (Normal text concatenation!)
°°°1°°° + °°°2°°°,,,,,2,"#1:  Pandas ""Series"" full of data that can be concatenated-to.  #2:  plaintext.  (Or the reverse.)","Pandas ""Series""","The same Pandas ""Series"" as in the ""Series""-typed expression, only with the value of the ""plaintext""-typed expression concatenated to it (at the end of the plaintext if the plaintext is after the ""+"", at the beginning if the plaintext is before the ""+"").  Will abort your program with an error if values in your Pandas ""Series"" aren't things that plaintext can be concatenated to."
°°°1°°° + °°°2°°°,,,,,2,"#1:  Pandas ""Series"" full of data that can be concatenated-to.   #2:  Pandas ""Series"" full of plaintext; SAME LENGTH as the Series in expression #1.  (Or the reverse.)","Pandas ""Series""","The same Pandas ""Series"" as in expression #1, only with the ""corresponding value"" from the appropriate equivalent position within expression #2 concatenated to the end of every value in the first ""Series.""  Will not act as concatenation if values in both ""Series"" can have ""+"" interpreted in some other way (such as if both are numbers) -- at least one Series must have plaintext in it for the ""+"" to work as concatenation.    Will abort your program with an error if values in your Pandas ""Series"" aren't things that plaintext can be concatenated to."
°°°1°°°.join(°°°2°°°),https://docs.python.org/3/library/stdtypes.html#str.join,,,,2,"#1:  plaintext.  #2:  list or Pandas ""Series"" full of data that can be concatenated with plaintext.",plaintext,"A single piece of plaintext, composed of all the values from the native Python ""list"" or the Pandas ""Series"" from expression #2, concatenated together, using the plaintext from expression #1 as a separator.  (Just use an ""empty string,"" which is two single-quotes next to each other with nothing in between them, as the value of input expression #1 if you don't want a visible separator between the pieces.)"
°°°1°°°.str.cat(sep=°°°2°°°),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.str.cat.html,,,,2,"#1:  Pandas ""Series"" full of data that can be concatenated with plaintext.  #2:  plaintext.",plaintext,"Does not work with native Python lists as input -- only Pandas ""Series.""  For those, completely equivalent, functionally, to °°°2°°°.join(°°°1°°°), although allegedly runs slower, so apparently no real reason to use it.  Note that in this one, the concatenation separator is towards the end of the expression, whereas in °°°2°°°.join(°°°1°°°), it's towards the beginning."
°°°.round(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.round.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same Pandas ""Series"" as in the input expression, only with each of its values rounded off.  Will abort your program with an error if values in your Pandas ""Series"" are, say, text, instead of numbers."
°°°.isnull(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.isnull.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same-sized Pandas ""Series"" as in the input expression, only with each value in the ""Series"" replaced by True/False explaining whether that value was null."
°°°.notnull(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.notnull.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same-sized Pandas ""Series"" as in the input expression, only with each value in the ""Series"" replaced by True/False explaining whether that value was NOT null."
°°°.tolist(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.tolist.html,,,,1,"Pandas ""Series"" or Numpy ""NDArray""",list,"The same values that were inside the Pandas ""Series"" or ""Numpy NDArray"" from the input expression, only now captured inside a native Python ""list"" data type.  Useful for certain fancy operations that take a native Python ""list"" as an input value -- for example, various types of ""is in?"" operations."
°°°.duplicated(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.duplicated.html,,,,1,"Pandas ""Series.""","Pandas ""Series""","The same-sized Pandas ""Series"" as in the input expression, only with each value in the ""Series"" replaced by True/False -- ""False"" if the value was unique to the Series; ""True"" if it wasn't unique (if it was ""duplicated"" anywhere else in the series)."
°°°.unique(),https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.unique.html,,,,1,"Pandas ""Series""","Numpy ""NDArray""","The same values that were inside the Pandas ""Series"" from the input expression, DEDUPLICATED to just the unique values, only now captured inside a value that is of the ""NDArray"" data type (from the Python module ""Numpy"").  For many practical purposes (such as printing to your output console), a Numpy ""NDArray"" will work a lot like a native Python ""list"" for you, so don't worry about it -- think of it as basically a list."
